A̱o;Sector Privado;Sector Publico;Total
1996;3.500.164 ;595.052 ;4.095.216 
1997;3.810.365 ;767.547 ;4.577.912 
1998;4.070.928 ;813.745 ;4.884.673 
1999;4.034.867 ;824.961 ;4.859.828 
2000;3.979.311 ;839.219 ;4.818.530 
2001;3.905.377 ;883.892 ;4.789.270 
2002;3.507.681 ;884.132 ;4.391.813 
2003;3.710.749 ;900.676 ;4.611.425 
2004;4.163.498 ;944.715 ;5.108.213 
2005;4.671.137 ;997.245 ;5.668.382 
2006;5.123.921 ;1.068.641 ;6.192.563 
2007;5.564.617 ;1.137.082 ;6.701.699 
2008;5.904.195 ;1.209.957 ;7.114.151 
2009;5.816.493 ;1.296.038 ;7.112.531 
2010;5.960.975 ;1.352.840 ;7.313.815 
